NOTICE: pid::10460 2016-10-23 13:51:02     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477201862645334,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:06     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477201986693298,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:12     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477201992570788,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:19     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477201999386874,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:26     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202006984562,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:33     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202013666242,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:37     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202017735996,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:53:43     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202023627589,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:54:45     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202085442850,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:55:35     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202135129728,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:55:52     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202152088873,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:56:02     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202162568611,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:56:24     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202184951835,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:56:39     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202199515068,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:58:08     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202288424352,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:58:19     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202299331245,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:58:41     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202321204188,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:59:11     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202351642902,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:59:32     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202372883288,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:59:39     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202379451988,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 13:59:49     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202389710663,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:00:21     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202421935314,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:00:43     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202443171619,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:01:20     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202480011043,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:01:42     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202502302250,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:01:48     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202508445743,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:03:56     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202636823871,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
NOTICE: pid::10460 2016-10-23 14:04:07     at Object.<anonymous> (F:\tftc\tpm\app\bootSrtap.js:79:11) { logid: 1477202647981156,  type: 'pv',  method: 'GET',  url: '/',  userInfo: null }
